District,Year,Government,Private,Total,Retention_Rate,Madhyamik_Pass_Percentage,HS_Pass_Percentage,Literacy_Rate,Girls_Percentage,Performance_Index,Calculated_Total,Total_Difference,Other_Institutions
PURBA BARDHAMAN,2020,806301,62939,885254,0.35,86.4,88.3,76.2,50.42,85.12,869240,16014,16014
PURBA MEDINIPUR,2018,910488,117249,1036348,0.24,95.2,91.5,87.0,49.78,92.08,1027737,8611,8611
PURBA MEDINIPUR,2019,895995,127737,1031870,0.34,95.9,94.0,87.0,49.72,93.36,1023732,8138,8138
PURBA MEDINIPUR,2020,899794,146251,1046920,0.33,96.6,96.2,87.0,49.59,94.52,1046045,875,875
PURULIA,2018,635787,52318,717595,0.23,78.4,78.1,64.5,48.69,75.5,688105,29490,29490
PURULIA,2019,630577,50032,707756,0.33,79.5,81.2,64.5,48.81,77.18,680609,27147,27147
PURULIA,2020,634504,58650,718933,0.35,80.7,84.4,64.5,48.71,78.94,693154,25779,25779
SOUTH 24 PARGANAS,2018,1433715,216527,1726017,0.22,89.2,85.9,77.5,51.41,85.54,1650242,75775,75775
SOUTH 24 PARGANAS,2019,1406919,217191,1695127,0.32,90.1,88.6,77.5,51.48,86.98,1624110,71017,71017
SOUTH 24 PARGANAS,2020,1456768,243698,1726454,0.33,91.3,91.4,77.5,51.47,88.58,1700466,25988,25988
UTTAR DINAJPUR,2018,651837,57792,742987,0.17,69.5,73.2,59.1,52.76,68.9,709629,33358,33358
UTTAR DINAJPUR,2019,636506,67304,737680,0.27,70.7,76.6,59.1,53.11,70.74,703810,33870,33870
UTTAR DINAJPUR,2020,672907,83308,756215,0.28,72.0,80.2,59.1,53.12,72.7,756215,0,0
