District,Year,Government,Private,Total,Retention_Rate,Madhyamik_Pass_Percentage,HS_Pass_Percentage,Literacy_Rate,Girls_Percentage,Performance_Index,Calculated_Total,Total_Difference,Other_Institutions,ID,Madhyamik_Growth_%,HS_Growth_%,HS_Madhyamik_Gap,Literacy_Madhyamik_Gap,Performance_per_Student,Gender_Deviation,Composite_Score
JALPAIGURI,2019,401494,87508,495332,0.37,68.3,75.9,73.2,50.9,72.32,489002,6330,6330,JALPAIGURI_2019,1.7883755588673722,4.689655172413798,7.6000000000000085,4.900000000000006,0.00014600308479968988,0.8999999999999986,72.32000000000001
JALPAIGURI,2020,397852,101732,501282,0.37,69.6,79.5,73.2,51.24,74.28,499584,1698,1698,JALPAIGURI_2020,1.9033674963396807,4.743083003952564,9.900000000000006,3.6000000000000085,0.00014818006630998122,1.240000000000002,74.28
JHARGRAM,2018,226271,17956,245415,0.24,85.1,82.9,72.0,48.88,81.6,244227,1188,1188,JHARGRAM_2018,0.0,0.0,-2.1999999999999886,-13.099999999999994,0.0003324980135688527,-1.1199999999999974,81.60000000000001
JHARGRAM,2019,222598,19749,244077,0.34,86.2,85.8,72.0,49.0,83.2,242347,1730,1730,JHARGRAM_2019,1.292596944770863,3.498190591073569,-0.4000000000000057,-14.200000000000003,0.00034087603502173496,-1.0,83.20000000000002
JHARGRAM,2020,220495,21917,244614,0.35,87.5,88.9,72.0,49.01,84.96,242412,2202,2202,JHARGRAM_2020,1.5081206496519783,3.6130536130536184,1.4000000000000057,-15.5,0.0003473227206946454,-0.990000000000002,84.96000000000001
KALIMPONG,2018,40564,4208,44772,0.28,94.6,90.8,79.6,49.83,90.08,44772,0,0,KALIMPONG_2018,0.0,0.0,-3.799999999999997,-15.0,0.002011971768069329,-0.1700000000000017,90.08
KALIMPONG,2019,38052,5375,43457,0.5,95.3,93.2,79.6,49.44,91.32,43427,30,30,KALIMPONG_2019,0.7399577167019,2.643171806167399,-2.0999999999999943,-15.700000000000003,0.002101387578525899,-0.5600000000000023,91.32000000000001
KALIMPONG,2020,42322,10522,52957,0.49,96.1,95.5,79.6,49.45,92.56,52844,113,113,KALIMPONG_2020,0.8394543546694555,2.467811158798283,-0.5999999999999943,-16.5,0.001747833147648092,-0.5499999999999972,92.56
KOLKATA,2018,410838,85493,500461,0.31,89.8,87.2,86.3,52.4,88.06,496331,4130,4130,KOLKATA_2018,0.0,0.0,-2.5999999999999943,-3.5,0.00017595776693888235,2.3999999999999986,88.06000000000002
KOLKATA,2019,401914,106268,512641,0.46,90.7,89.9,86.3,52.93,89.5,508182,4459,4459,KOLKATA_2019,1.0022271714922093,3.096330275229353,-0.7999999999999972,-4.400000000000006,0.0001745861138691599,2.9299999999999997,89.50000000000001
KOLKATA,2020,409352,198339,611141,0.44,91.8,92.4,86.3,52.41,90.94,607691,3450,3450,KOLKATA_2020,1.2127894156560126,2.7808676307007785,0.6000000000000085,-5.5,0.00014880363124058113,2.4099999999999966,90.94000000000001
MALDAH,2018,795041,235903,1157205,0.19,79.5,78.8,61.7,51.97,75.66,1030944,126261,126261,MALDAH_2018,0.0,0.0,-0.7000000000000028,-17.799999999999997,6.538167394713988e-05,1.9699999999999989,75.66
MALDAH,2019,778128,251234,1154748,0.28,80.6,81.9,61.7,51.82,77.34,1029362,125386,125386,MALDAH_2019,1.383647798742138,3.934010152284273,1.3000000000000114,-18.89999999999999,6.697565183052926e-05,1.8200000000000003,77.34
MALDAH,2020,917080,267752,1194939,0.28,81.9,85.1,61.7,51.85,79.14,1184832,10107,10107,MALDAH_2020,1.6129032258064724,3.9072039072038933,3.1999999999999886,-20.200000000000003,6.62293221662361e-05,1.8500000000000014,79.14000000000001
